local_record_time_utc,chainlink_tick_time_utc,chainlink_price,coinbase_mid,coinbase_trade_price,binance_mid,binance_trade_price,coinbase_sample_time_utc,binance_sample_time_utc
2026-01-21T04:24:42.138091+00:00,2026-01-21T04:24:41+00:00,89361.81534900457,89358.17499999999,89358.18,89472.545,89472.545,2026-01-21T04:24:42.138091+00:00,2026-01-21T04:24:42.138091+00:00
2026-01-21T04:24:43.514645+00:00,2026-01-21T04:24:42+00:00,89363.09302151263,89358.48,89358.78,89472.545,89472.545,2026-01-21T04:24:43.514646+00:00,2026-01-21T04:24:43.514646+00:00
2026-01-21T04:24:44.245713+00:00,2026-01-21T04:24:43+00:00,89363.29363968248,89358.48,89358.78,89472.545,89472.545,2026-01-21T04:24:44.245714+00:00,2026-01-21T04:24:44.245714+00:00
2026-01-21T04:24:45.011297+00:00,2026-01-21T04:24:44+00:00,89363.30545859161,89358.485,89358.78,89472.545,89472.545,2026-01-21T04:24:45.011298+00:00,2026-01-21T04:24:45.011299+00:00
2026-01-21T04:24:46.537504+00:00,2026-01-21T04:24:45+00:00,89361.75054297611,89358.48999999999,89358.78,89472.545,89472.545,2026-01-21T04:24:46.537505+00:00,2026-01-21T04:24:46.537505+00:00
2026-01-21T04:24:47.606480+00:00,2026-01-21T04:24:46+00:00,89361.6201549453,89358.48999999999,89358.78,89472.545,89472.545,2026-01-21T04:24:47.606481+00:00,2026-01-21T04:24:47.606481+00:00
2026-01-21T04:24:48.374052+00:00,2026-01-21T04:24:47+00:00,89361.49548040846,89358.775,89358.78,89472.545,89472.545,2026-01-21T04:24:48.374053+00:00,2026-01-21T04:24:48.374053+00:00
2026-01-21T04:24:48.877636+00:00,2026-01-21T04:24:48+00:00,89361.51889757265,89358.215,89358.22,89472.545,89472.545,2026-01-21T04:24:48.877637+00:00,2026-01-21T04:24:48.877638+00:00
2026-01-21T04:24:50.328491+00:00,2026-01-21T04:24:49+00:00,89361.45606353218,89358.215,89358.22,89472.545,89472.545,2026-01-21T04:24:50.328492+00:00,2026-01-21T04:24:50.328493+00:00
2026-01-21T04:24:51.050478+00:00,2026-01-21T04:24:50+00:00,89361.72483052168,89359.60500000001,89361.0,89472.545,89472.545,2026-01-21T04:24:51.050478+00:00,2026-01-21T04:24:51.050479+00:00
2026-01-21T04:24:52.620572+00:00,2026-01-21T04:24:51+00:00,89362.62029476916,89360.005,89360.01,89472.545,89472.545,2026-01-21T04:24:52.620573+00:00,2026-01-21T04:24:52.620573+00:00
2026-01-21T04:24:53.237548+00:00,2026-01-21T04:24:52+00:00,89362.78219367156,89360.005,89360.01,89472.545,89472.545,2026-01-21T04:24:53.237548+00:00,2026-01-21T04:24:53.237548+00:00
2026-01-21T04:24:53.939200+00:00,2026-01-21T04:24:53+00:00,89362.78059475403,89360.005,89360.01,89472.545,89472.545,2026-01-21T04:24:53.939201+00:00,2026-01-21T04:24:53.939201+00:00
2026-01-21T04:24:55.411963+00:00,2026-01-21T04:24:54+00:00,89362.77393049111,89360.495,89360.99,89472.545,89472.545,2026-01-21T04:24:55.411963+00:00,2026-01-21T04:24:55.411964+00:00
2026-01-21T04:24:56.070360+00:00,2026-01-21T04:24:55+00:00,89363.15766298764,89361.35,89362.0,89472.545,89472.545,2026-01-21T04:24:56.070360+00:00,2026-01-21T04:24:56.070361+00:00
2026-01-21T04:24:57.574491+00:00,2026-01-21T04:24:56+00:00,89363.03729449408,89360.975,89360.97,89472.545,89472.545,2026-01-21T04:24:57.574492+00:00,2026-01-21T04:24:57.574492+00:00
